Date,entropy,synchronization,amplitude,psi,pressure,percentile,defensive_weight,risk_return,defensive_return,cesp_return,cesp_equity,risk_equity,defensive_equity,weight,date
2021-03-28,0.06329972069554361,0.027777777777777776,0.09867464337534793,0.002567460166943223,0.03418732202323775,0.9126984126984127,0.5634920634920633,-0.001672452847730383,0.0,-0.0005042527751632019,4.93223247652465,4.30232147866515,1.2519688892077852,0.722222222222222,2021-03-28
2021-03-29,0.8141554653732629,0.0,0.907034536757356,0.0,0.03259721402215693,0.8531746031746031,0.26587301587301554,0.006517579488942148,-0.005354074528904795,-0.00033073348936842853,4.930601222067312,4.330362200889333,1.2452657544670964,0.5634920634920633,2021-03-29
2021-03-30,0.9032460212814986,-0.1111111111111111,0.6114523890031093,0.0,0.03108106453275428,0.7658730158730159,0.0,0.0021252040148913576,-0.0021852457071368514,0.0006815526999076685,4.933961686642381,4.339565104024596,1.2425445428229027,0.26587301587301554,2021-03-30
2021-03-31,0.9195209087947125,0.0,0.6755644604762842,0.0,0.029635433624254078,0.6547619047619048,0.0,0.006685646309131734,0.0018443860464573691,0.006419773293258719,4.965636602108249,4.368577901445556,1.2448362746397872,0.0,2021-03-31
2021-04-01,0.9289801080933031,1.0,1.3504987985228967,0.09591227869122014,0.03271807758085715,0.5238095238095238,0.0,0.01642200727551267,0.007319130163708998,0.01642200727551267,5.0471823225156225,4.440318719526738,1.2539473933663825,0.0,2021-04-01
2021-04-02,0.11342208598509264,0.027777777777777776,0.5592077425737674,0.013771700942000998,0.031836850760445234,0.7698412698412699,0.0,0.009867765261666698,0.0,0.009867765261666698,5.096986732907041,4.4841347423380125,1.2539473933663825,0.0,2021-04-02
2021-04-03,0.308052765510294,0.027777777777777776,0.4549326790070273,0.008744150253275157,0.030762771667088483,0.6984126984126984,0.0,-0.009282991166355238,0.0,-0.009282991166355238,5.049671450090435,4.442508559136142,1.2539473933663825,0.0,2021-04-03
2021-04-04,0.3127947562905,0.027777777777777776,0.2705239643384528,0.005164041301179627,0.0295721330454183,0.6031746031746031,0.0,0.005771306860986147,0.0,0.005771306860986147,5.078814653576068,4.468147639263474,1.2539473933663825,0.0,2021-04-04
2021-04-05,0.8693024170571972,0.2222222222222222,1.2621595097108937,0.036658043823885954,0.029901710290928425,0.5079365079365079,0.0,0.003525650608771475,-0.0026887088032915285,0.003525650608771475,5.096720779551286,4.483900766707925,1.250575893970974,0.0,2021-04-05
2021-04-06,0.7536754620670086,0.0,0.5509494913867867,0.0,0.028510933068094543,0.5396825396825397,0.0,-0.002336232985681974,0.004320099495510266,-0.002336232985681974,5.084813652347288,4.473425329832217,1.2559785062596154,0.0,2021-04-06
2021-04-07,0.8162846146015609,0.0,0.7275791351456208,0.0,0.02718484315795061,0.43253968253968256,0.0,-0.01218322872200497,-0.002298350641416591,-0.01218322872200497,5.022864204611968,4.418924565868061,1.2530918272541482,0.0,2021-04-07
2021-04-08,0.9762980119003761,0.2222222222222222,0.7862901875399928,0.004141475703983096,0.026113058625207936,0.35714285714285715,0.0,0.013131265407649072,0.004506384226166588,0.013131265407649072,5.088820767589307,4.476950637158855,1.2587387404984245,0.0,2021-04-08
2021-04-09,0.8326017888796069,-0.1111111111111111,0.42784615689669675,0.0,0.024898497758919197,0.2777777777777778,0.0,-0.0004465086277528865,-0.003246877998447195,-0.0004465086277528865,5.086548565211491,4.47495164007334,1.254651769376107,0.0,2021-04-09
2021-04-10,0.31463898229233633,0.027777777777777776,0.3160201574117377,0.006016330463884573,0.024020257419615262,0.21031746031746032,0.0,0.006376364316914524,0.0,0.006376364316914524,5.1189822519789585,4.503485562031022,1.254651769376107,0.0,2021-04-10
2021-04-11,0.31459978119457965,0.027777777777777776,0.0944000585493752,0.0017972727995829512,0.022986630227985853,0.16666666666666666,0.0,0.001894700521643496,0.0,0.001894700521643496,5.128681190322067,4.512018318474616,1.254651769376107,0.0,2021-04-11
2021-04-12,0.8292114510029809,0.0,0.4309841098679404,0.0,0.02191748463598651,0.13095238095238096,0.0,-0.0028268782428389544,-0.0018797752184112337,-0.0028268782428389544,5.114183033050688,4.499263392058829,1.252293306072298,0.0,2021-04-12
2021-04-13,0.895149237865021,0.5555555555555556,0.9621244820343554,0.056044158450013384,0.023504771790127298,0.0992063492063492,0.0,0.01883990135329536,0.003772598883837658,0.01883990135329536,5.2105337368960605,4.584029070527711,1.257017706401024,0.0,2021-04-13
2021-04-14,0.8895442159782591,-0.1111111111111111,1.0946938416403191,0.0,0.022411526590586494,0.1626984126984127,0.0,0.0104014821057007,-0.0024909256147283843,0.0104014821057007,5.264731010321535,4.631709766876817,1.2538865687979825,0.0,2021-04-14
2021-04-15,0.8848529161032496,0.5555555555555556,1.1679576493484538,0.0747149541318766,0.0248442441506465,0.11904761904761904,0.0,0.01022379639886353,0.00982697126206672,0.01022379639886353,5.318556548265846,4.679063424511994,1.2662084760754517,0.0,2021-04-15
2021-04-16,0.8857810637805252,-0.1111111111111111,0.5784692263084639,0.0,0.023688697911081545,0.2261904761904762,0.0,-0.006251799689105682,-0.0014098104869046113,-0.006251799689105682,5.285305998090907,4.6498108572493235,1.2644233620872731,0.0,2021-04-16
2021-04-17,0.2933639856669349,0.027777777777777776,0.2960613746308462,0.0058113230490863775,0.022857192103546885,0.1746031746031746,0.0,-0.005581409265554122,0.0,-0.005581409265554122,5.255806542221873,4.623858359847598,1.2644233620872731,0.0,2021-04-17
2021-04-18,0.2836039086433293,0.027777777777777776,0.8086350425639215,0.016091749550745233,0.022542520356904946,0.13095238095238096,0.0,-0.013286207451075017,0.0,-0.013286207451075017,5.185976806179196,4.562424818454276,1.2644233620872731,0.0,2021-04-18
2021-04-19,0.8797115240554789,0.2222222222222222,0.5731459627920804,0.015320634301781008,0.02220661867992244,0.12698412698412698,0.0,-0.007466961412619476,-0.003091692917742528,-0.007466961412619476,5.1472533174807165,4.5283573683869,1.2605141533336799,0.0,2021-04-19
2021-04-20,0.9040321950855471,0.0,1.4776162068528116,0.0,0.021173752694809766,0.11904761904761904,0.0,0.0017934480455197915,0.0031937234794459646,0.0017934480455197915,5.156484648882747,4.536478742058649,1.2645398869813556,0.0,2021-04-20
2021-04-21,0.9434913048222671,0.2222222222222222,1.1275536604530958,0.014159241354462438,0.020847496353398262,0.07539682539682539,0.0,0.004161572167011161,0.002805139259852818,0.004161572167011161,5.177943731877158,4.555357625727838,1.2680870974639769,0.0,2021-04-21
2021-04-22,0.9541740548626757,0.2222222222222222,0.840299328429724,0.008557224649677996,0.02027585580903918,0.06349206349206349,0.0,-0.006789736635915274,0.0003803117078217122,-0.006789736635915274,5.142786857622124,4.524427947166738,1.2685693658336799,0.0,2021-04-22
2021-04-23,0.9475958402542127,0.2222222222222222,1.0257239235138977,0.011944933409532883,0.019888371046271443,0.051587301587301584,0.0,0.0051078691783453195,-0.003296044809669857,0.0051078691783453195,5.1690555401029705,4.547538133227715,1.2643881043597176,0.0,2021-04-23
2021-04-24,0.27014010218416157,0.027777777777777776,0.5250187922561486,0.010644171168540762,0.019458408261260714,0.03968253968253968,0.0,-0.009411290448699174,0.0,-0.009411290448699174,5.1204080570696044,4.504739931029374,1.2643881043597176,0.0,2021-04-24
2021-04-25,0.3008031606415455,-0.027777777777777776,0.38588741910360985,0.0,0.018553366016550915,0.031746031746031744,0.0,0.0029232668646713205,0.0,0.0029232668646713205,5.135376376276432,4.517908488003714,1.2643881043597176,0.0,2021-04-25
2021-04-26,0.835236259565991,1.0,1.2182665911669746,0.20072616040646035,0.02702651924398857,0.023809523809523808,0.0,0.02588485281481017,4.232567461340264e-05,0.02588485281481017,5.268304837925,4.634853884246471,1.2644416204392077,0.0,2021-04-26
2021-04-27,0.8459685380299533,-0.1111111111111111,0.5838187603449877,0.0,0.025769471837291426,0.39285714285714285,0.0,0.009277251016513284,-0.0036913849713168245,0.009277251016513284,5.317180224337942,4.6778525871554875,1.259774079644411,0.0,2021-04-27
2021-04-28,0.7090576405414651,-0.1111111111111111,0.8423435511107992,0.0,0.02457089175183601,0.30952380952380953,0.0,0.006906679138841786,0.00030752668103484204,0.006906679138841786,5.353904282070838,4.710161014033771,1.2601614937859777,0.0,2021-04-28
2021-04-29,0.8810706662057135,0.2222222222222222,0.678732921675613,0.01793805648869562,0.02426238778610855,0.24603174603174602,0.0,0.0015277189669148125,-0.0021078896609590947,0.0015277189669148125,5.362083543189604,4.717356816352132,1.2575052124020876,0.0,2021-04-29
2021-04-30,0.9229607833190578,0.0,1.260853622648124,0.0,0.02313390463326629,0.23412698412698413,0.0,0.0017113288633913272,0.0020064622664608678,0.0017113288633913272,5.37125983152498,4.725429765230872,1.26002834916065,0.0,2021-04-30
2021-05-01,0.053757624087303744,0.027777777777777776,0.4421196172306677,0.01162089769572108,0.022598415938496742,0.1865079365079365,0.0,0.007068647530464828,0.0,0.007068647530464828,5.409227374068574,4.758832162671256,1.26002834916065,0.0,2021-05-01
2021-05-02,0.12423931032249662,-0.027777777777777776,0.1817740398260057,0.0,0.02154732682507829,0.15079365079365079,0.0,-0.00206740521025132,0.0,-0.00206740521025132,5.398044309211991,4.7489937282634385,1.26002834916065,0.0,2021-05-02
2021-05-03,0.8381665007260192,0.2222222222222222,1.4576524701250988,0.05242155554793478,0.022983337463350684,0.10317460317460317,0.0,0.024648825666897918,0.0027015372124145343,0.024648825666897918,5.531099762331948,4.866050846764596,1.263432362634605,0.0,2021-05-03
2021-05-04,0.9311929148294594,0.2222222222222222,1.4285539264405187,0.021843251486067316,0.02293031020859332,0.16666666666666666,0.0,-0.017852035091593374,0.0013164778489170859,-0.017852035091593374,5.432358375279694,4.7791819362906764,1.2650956433536182,0.0,2021-05-04
2021-05-05,0.8564330252044476,0.0,1.5264059694535435,0.0,0.021863784152379676,0.1626984126984127,0.0,0.020613515090151326,0.001652391317875812,0.020613515090151326,5.5443383766236325,4.877697675252984,1.2671860764109784,0.0,2021-05-05
2021-05-06,0.9003119871808114,0.2222222222222222,0.7158213958947729,0.0158575138867128,0.021584422744674238,0.10714285714285714,0.0,0.0014760881243810228,0.0034697727424297664,0.0014760881243810228,5.552522308658916,4.884897586865745,1.2715829241184957,0.0,2021-05-06
2021-05-07,0.923386887775941,0.5555555555555556,1.1250435975250184,0.04788505077452404,0.022807707769318415,0.09126984126984126,0.0,0.010585361998353249,-0.0007367740780577503,0.010585361998353249,5.6112977673000035,4.936605996147602,1.2706460547819043,0.0,2021-05-07
2021-05-08,0.2391117210705394,0.027777777777777776,0.7788370827939202,0.016461333541486326,0.02251252757267506,0.14285714285714285,0.0,0.016129263097837822,0.0,0.016129263097837822,5.701803865309095,5.01622981306983,1.2706460547819043,0.0,2021-05-08
2021-05-09,0.29117175805141887,-0.027777777777777776,0.09341228444517259,0.0,0.021465433266969244,0.13095238095238096,0.0,-0.0003339412588316086,0.0,-0.0003339412588316086,5.699899797748704,5.014554686971465,1.2706460547819043,0.0,2021-05-09
2021-05-10,0.7990610556816,0.2222222222222222,1.384315627429011,0.06181398239534421,0.023342109970614595,0.07539682539682539,0.0,-0.011952654090829918,-0.0022763215775461476,-0.011952654090829918,5.631770867113822,4.954617449378545,1.2677536557499804,0.0,2021-05-10
2021-05-11,0.9048114535162843,0.0,1.2639486312827963,0.0,0.022256430437097637,0.19047619047619047,0.0,0.0017429538965017472,-0.0019930352448177813,0.0017429538965017472,5.641586784090863,4.963253119167614,1.2652269780323242,0.0,2021-05-11
2021-05-12,0.9062344478056942,0.5555555555555556,2.5891277221338203,0.1348727725374794,0.027494399837115397,0.11904761904761904,0.0,-0.038024184334849366,-0.004460114070169607,-0.038024184334849366,5.427070048271542,4.774529467663869,1.259583921385644,0.0,2021-05-12
2021-05-13,0.8979528327774686,0.0,1.4449769912643884,0.0,0.02621559054236584,0.4087301587301587,0.0,0.0012851603541708112,0.0018414454446834816,0.0012851603541708112,5.434044703536888,4.780665503645531,1.2619033764598762,0.0,2021-05-13
2021-05-14,0.9417032038092064,1.0,1.6683540051185786,0.09725969341049207,0.02951996741995311,0.3373015873015873,0.0,0.025665453670193312,0.0041405461713865666,0.025665453670193312,5.573511926117273,4.9033634526420355,1.2671283456539368,0.0,2021-05-14
2021-05-15,0.3080119729130588,0.027777777777777776,0.8578429841837371,0.01648936317154662,0.028913892803748155,0.5476190476190477,0.0,-0.018961530164936007,0.0,-0.018961530164936007,5.467829611605571,4.810388178625119,1.2671283456539368,0.0,2021-05-15
